uuid,title,date,place,names,link
12cac140-c6bb-012f-2960-58d385a7bc34," Blake, Harrison G. O., ALS to. Dec. 6-7, 1856.",1856-12-06-1856-12-07,"Concord, MA","rcp:Blake, H. G. O. (Harrison Gray Otis), 1816?-1898",http://digitalcollections.nypl.org/items/12cac140-c6bb-012f-2960-58d385a7bc34
135346b0-c6bb-012f-681f-58d385a7bc34,"[Thoreau, John], ALS to. ""Tahatawan - Sachimaussan - to his brother sachem - Hopeful of Hopewell."" [Nov. 11, 1837.]",1837-11-11,"Musketaquid, Concord, MA","rcp:Thoreau, John, 1815-1842",http://digitalcollections.nypl.org/items/135346b0-c6bb-012f-681f-58d385a7bc34
fe8ff140-0043-0130-83a8-58d385a7bc34,ITEM: FOR DELETION,1848-03-27,[n.p.],"rcp:Blake, H. G. O. (Harrison Gray Otis), 1816?-1898",http://digitalcollections.nypl.org/items/fe8ff140-0043-0130-83a8-58d385a7bc34
2ff05de0-157d-0130-12c8-58d385a7b928," Blake, Harrison G. O., Copy of letter to, in the hand of the recipient. Apr. 17, 1849.",1849-04-17,"Concord, MA","rcp:Blake, H. G. O. (Harrison Gray Otis), 1816?-1898",http://digitalcollections.nypl.org/items/2ff05de0-157d-0130-12c8-58d385a7b928
07847210-1582-0130-f401-58d385a7b928," Blake, Harrison G. O., Copy of letter to, in the hand of the recipient. Oct. 5, 1854",1854-10-05,"Concord, MA","rcp:Blake, H. G. O. (Harrison Gray Otis), 1816?-1898",http://digitalcollections.nypl.org/items/07847210-1582-0130-f401-58d385a7b928
785a43a0-1582-0130-203d-58d385a7b928," Blake, Harrison G. O., Copy of letter to, in the hand of the recipient. Feb. 6, 1857.",1857-02-06,"Concord, MA","rcp:Blake, H. G. O. (Harrison Gray Otis), 1816?-1898",http://digitalcollections.nypl.org/items/785a43a0-1582-0130-203d-58d385a7b928
3425b660-1583-0130-55db-58d385a7b928," Blake, Harrison G. O., Copy of letter to, in the hand of the recipient. Jun. 23, 1857.",1857-06-23,"Concord, MA","rcp:Blake, H. G. O. (Harrison Gray Otis), 1816?-1898",http://digitalcollections.nypl.org/items/3425b660-1583-0130-55db-58d385a7b928
8c726160-1583-0130-6cc3-58d385a7b928," Blake, Harrison G. O., Copy of letter to, in the hand of the recipient. Jun. 1, 1858. Previously: Jun. 14, 1858.",1858-06-14,"Concord, MA","rcp:Blake, H. G. O. (Harrison Gray Otis), 1816?-1898",http://digitalcollections.nypl.org/items/8c726160-1583-0130-6cc3-58d385a7b928
eac43fa0-1583-0130-4013-58d385a7b928," Blake, Harrison G. O., Copy of letter to, in the hand of the recipient. Feb. 7, 1859.",1859-02-07,"Concord, MA","rcp:Blake, H. G. O. (Harrison Gray Otis), 1816?-1898",http://digitalcollections.nypl.org/items/eac43fa0-1583-0130-4013-58d385a7b928
2f9a4860-1584-0130-6fe4-58d385a7b928," Blake, Harrison G. O., Copy of letter to, in the hand of the recipient. Oct. 31, [1859].",1859-10-31,"Concord, MA","rcp:Blake, H. G. O. (Harrison Gray Otis), 1816?-1898",http://digitalcollections.nypl.org/items/2f9a4860-1584-0130-6fe4-58d385a7b928
