uuid,title,date,place,names,link
b28d2390-3e5d-0130-73c6-58d385a7bbd0,"[Bennett, William Cox], ALS to. Sep. 12, 1854.",1854-09-12,"Liverpool, England","rcp:Bennett, W. C. (William Cox), 1820-1895",http://digitalcollections.nypl.org/items/b28d2390-3e5d-0130-73c6-58d385a7bbd0
57075bd0-3e5f-0130-f1dd-58d385a7bbd0," Bradford, G. P., ALS to. Jul. 26, 1854.",1854-07-26,"Liverpool, England",":Bradford, George Partridge, 1807-1890",http://digitalcollections.nypl.org/items/57075bd0-3e5f-0130-f1dd-58d385a7bbd0
f201b080-3e62-0130-0625-58d385a7bbd0," Brailsford, W., ALS to. Jan. 11, 1854. ",1854-01-11,"Liverpool, England",":Brailsford, Willson",http://digitalcollections.nypl.org/items/f201b080-3e62-0130-0625-58d385a7bbd0
92051c10-3e63-0130-a2fc-58d385a7bbd0," Bridge, Horatio, letter to. May 3, 1843. Copy in unknown hand. [Previously May 8, 1843].",1843-05-03,"Concord, MA","rcp:Bridge, Horatio, 1806-1893",http://digitalcollections.nypl.org/items/92051c10-3e63-0130-a2fc-58d385a7bbd0
73234ce0-3e64-0130-756a-58d385a7bbd0," Bright, [Henry A.], ALS to. Nov. 22, 1854. ",1854-11-22,"Liverpool, England","rcp:Bright, Henry Arthur, 1830-1884",http://digitalcollections.nypl.org/items/73234ce0-3e64-0130-756a-58d385a7bbd0
fe7b8ff0-3e64-0130-9673-58d385a7bbd0,"[Burchmore], Zack, ALS to. Apr. 7, 1853.",1853-04-07,"Concord, MA","rcp:Burchmore, Zachariah",http://digitalcollections.nypl.org/items/fe7b8ff0-3e64-0130-9673-58d385a7bbd0
7ecaabd0-3e66-0130-83e1-58d385a7bbd0," Carter, Robert, ALS to. Aug. 20, 1842.",1842-08-20,"Concord, MA","rcp:Carter, Robert, 1819-1879",http://digitalcollections.nypl.org/items/7ecaabd0-3e66-0130-83e1-58d385a7bbd0
4723d7e0-3e67-0130-8e02-58d385a7b928," Chorley, [Henry Fothergill], ALS to. [Mar. 5, 1860]. With ALS by Sophia Peabody Hawthorne.",1860-03-05,"Leamington, England","rcp:Chorley, Henry Fothergill, 1808-1872; aut:Hawthorne, Sophia Peabody, 1809-1871",http://digitalcollections.nypl.org/items/4723d7e0-3e67-0130-8e02-58d385a7b928
93203070-3e67-0130-400c-58d385a7b928," Fields, [J. T.], ALS to. Nov. 14, 1852.",1852-11-14,"Concord, MA","rcp:Fields, James Thomas, 1817-1881",http://digitalcollections.nypl.org/items/93203070-3e67-0130-400c-58d385a7b928
aeae1630-3e71-0130-d2c5-58d385a7bbd0," Francis, J. W., Jr., letter to. Dec. 1, 1850. Copy in unknown hand. [Previously given as Y. W. Frances, Jr., and T. W. Francis, Jr.]",1850-12-01,"Lenox, MA","rcp:Francis, John W. (John Ward), 1832-1855",http://digitalcollections.nypl.org/items/aeae1630-3e71-0130-d2c5-58d385a7bbd0
863e9610-415e-0130-ba71-58d385a7bbd0," Gibson, Miss, ALS to. Apr. 16, 1860.",1860-04-16,"Bath, England","rcp:Gibson, Julia or Margaret",http://digitalcollections.nypl.org/items/863e9610-415e-0130-ba71-58d385a7bbd0
b78be5b0-4165-0130-8659-58d385a7bbd0,"[Gilman, Mrs. Caroline Howard], AL to. Dec. 27, 1838.",1838-12-27,"Salem, MA","rcp:Gilman, Caroline Howard, 1794-1888",http://digitalcollections.nypl.org/items/b78be5b0-4165-0130-8659-58d385a7bbd0
cbd229d0-4166-0130-d2b6-58d385a7b928," Goodrich, Samuel G., letter to. Dec. 20, 1829. Copy in unknown hand.",1829-12-20,"Salem, MA","rcp:Goodrich, Samuel G. (Samuel Griswold), 1793-1860",http://digitalcollections.nypl.org/items/cbd229d0-4166-0130-d2b6-58d385a7b928
1b101b80-4167-0130-af97-58d385a7b928," Griswold, Rufus W., ALS to. Jul. 2, 1843. ",1843-07-02,"Concord, MA","rcp:Griswold, Rufus W. (Rufus Wilmot), 1815-1857",http://digitalcollections.nypl.org/items/1b101b80-4167-0130-af97-58d385a7b928
ea439dd0-4167-0130-70c9-58d385a7b928," Hale, Nathan, Jr., ALS to. Dec. 6, 1841. ",1841-12-06,"[Boston, MA]","rcp:Hale, Nathan, 1818-1871",http://digitalcollections.nypl.org/items/ea439dd0-4167-0130-70c9-58d385a7b928
0e179870-416b-0130-6c48-58d385a7b928," Ha[w]thorne, Maria Louisa, ALS to. Aug. 11, 1824. ",1824-08-11,"Brunswick, ME","rcp:Hawthorne, Maria Louisa, d. 1852",http://digitalcollections.nypl.org/items/0e179870-416b-0130-6c48-58d385a7b928
64c0ac10-416b-0130-e474-58d385a7b928," Hillard, [George S.], ALS to. Jul. 23, 1859. ",1859-07-23,"Redcar, Yorkshire, England","rcp:Hillard, George Stillman, 1808-1879",http://digitalcollections.nypl.org/items/64c0ac10-416b-0130-e474-58d385a7b928
81425f40-416c-0130-5e02-58d385a7b928," Greenwood, Grace [Sara Jane Clarke Lippincott], ALS to. Apr. 17, 1852.",1852-04-17,"Redcar, Yorkshire, England","rcp:Greenwood, Grace, 1823-1904",http://digitalcollections.nypl.org/items/81425f40-416c-0130-5e02-58d385a7b928
ec60e030-416c-0130-6e96-58d385a7b928," Greenwood, Grace [Sara Jane Clarke Lippincott], ALS to. Jun. 12, 1851.",1851-06-12,"Lenox, MA","rcp:Greenwood, Grace, 1823-1904",http://digitalcollections.nypl.org/items/ec60e030-416c-0130-6e96-58d385a7b928
5aef5c00-416d-0130-eb5e-58d385a7b928,"[Lowell, James Russell], ALS to. [May? 1843]. Mentions Edgar Allan Poe.",1843-05: questionable,"Concord, MA","rcp:Lowell, James Russell, 1819-1891",http://digitalcollections.nypl.org/items/5aef5c00-416d-0130-eb5e-58d385a7b928
fe5f0050-416d-0130-7f77-58d385a7b928,"[Mann, Horace], ALS, mutilated, to. Aug. 8, 1849.",1849-08-08,"Salem, MA","rcp:Mann, Horace, 1796-1859",http://digitalcollections.nypl.org/items/fe5f0050-416d-0130-7f77-58d385a7b928
83960fb0-416e-0130-1f2e-58d385a7b928," Manning, Robert, AL[S], mutilated, to. Feb. 20, 1851.",1851-02-20,"Brunswick, ME","rcp:Manning, Robert, 1784-1842",http://digitalcollections.nypl.org/items/83960fb0-416e-0130-1f2e-58d385a7b928
a9bbd1f0-416f-0130-fafe-58d385a7bbd0,"[Miller], Colonel [Ephraim], ALS to. Mar. 3, 1854.",1854-03-03,"Liverpool, England","rcp:Miller, Ephraim",http://digitalcollections.nypl.org/items/a9bbd1f0-416f-0130-fafe-58d385a7bbd0
3989ecb0-4170-0130-a37c-58d385a7bbd0," Moran, B., ALS to. Sep. 15, 1857.",1857-09-15,"Leamington, England","rcp:Moran, Benjamin, 1820-1886",http://digitalcollections.nypl.org/items/3989ecb0-4170-0130-a37c-58d385a7bbd0
5cba5110-4172-0130-6790-58d385a7b928,"[Peabody], E[lizabeth], ALS to. Aug. 13, 1857.",1857-08-13,"Liverpool, England","rcp:Peabody, Elizabeth Palmer, 1804-1894",http://digitalcollections.nypl.org/items/5cba5110-4172-0130-6790-58d385a7b928
99fe5610-4174-0130-897a-58d385a7b928,"[Peabody], E[lizabeth], ALS to. Oct. 8, 1857.",1857-10-08,"Liverpool, England","rcp:Peabody, Elizabeth Palmer, 1804-1894",http://digitalcollections.nypl.org/items/99fe5610-4174-0130-897a-58d385a7b928
f3bc8450-4175-0130-f167-58d385a7b928," Peabody, [Nathaniel Cranch], ALS to. Feb. 15, 1856.",1856-02-15,"Liverpool, England","rcp:Peabody, Nathaniel Cranch, 1811-1881",http://digitalcollections.nypl.org/items/f3bc8450-4175-0130-f167-58d385a7b928
6de05cd0-417b-0130-0522-58d385a7b928," Pike, [William B.], ALS to. Feb. 8, 1840.",1840-02-08,"Boston, MA","rcp:Pike, William B., 1810-1876",http://digitalcollections.nypl.org/items/6de05cd0-417b-0130-0522-58d385a7b928
3060a4e0-417c-0130-1900-58d385a7b928," Poney, Robert J., ALS to. Sep. 28, 1863. [Previously Robert I. Powy (?)].",1863-09-28,"Concord, MA","rcp:Poney, Robert J.",http://digitalcollections.nypl.org/items/3060a4e0-417c-0130-1900-58d385a7b928
4e310620-417d-0130-f04a-58d385a7bbd0," Shelby, Maria L., ALS to. Jun. 27, 1853.",1853-06-27,"Concord, MA","rcp:Shelby, Maria L.",http://digitalcollections.nypl.org/items/4e310620-417d-0130-f04a-58d385a7bbd0
fe877d30-417d-0130-4dae-58d385a7bbd0," Story, Mrs. [William Wetmore], ALS to. Sep. 29, [1858].",1858-09-29,"[Florence, Italy]","rcp:Story, Emelyn Eldredge",http://digitalcollections.nypl.org/items/fe877d30-417d-0130-4dae-58d385a7bbd0
14c4a010-4180-0130-d80a-58d385a7b928," Thoreau, Henry D., ALS to. Oct. 21, 1848.",1848-10-21,"Salem, MA","rcp:Thoreau, Henry David, 1817-1862",http://digitalcollections.nypl.org/items/14c4a010-4180-0130-d80a-58d385a7b928
f957d7f0-4182-0130-2929-58d385a7b928," Ticknor, William D., ALS to. Sep. 27, 1855.",1855-09-27,"London, England","rcp:Ticknor, William Davis, 1810-1864",http://digitalcollections.nypl.org/items/f957d7f0-4182-0130-2929-58d385a7b928
