uuid,title,date,place,names,link
f3607030-c6ca-012f-2268-58d385a7bc34,"[Mann], Mary T[yler] Peabody, ALS to. Jul. 28, 1832.",1832-07-28,"[Boston, MA]","rcp:Mann, Mary Tyler Peabody, 1806-1887",http://digitalcollections.nypl.org/items/f3607030-c6ca-012f-2268-58d385a7bc34
a17dbe80-4e1e-0130-6bd3-58d385a7b928," Bright, H[enry] A., ALS, to SAPH. Oct. 13, 1864.",1864-10-13,"Liverpool, England","aut:Bright, Henry Arthur, 1830-1884",http://digitalcollections.nypl.org/items/a17dbe80-4e1e-0130-6bd3-58d385a7b928
0c958820-4e1f-0130-5e69-58d385a7b928,"[Bright, Henry A.], AL, to SAPH. Mar. 29, [1867?]. [Previously, Nathaniel Hawthorne recipient]",1867-03-29,"Liverpool, England","aut:Bright, Henry Arthur, 1830-1884",http://digitalcollections.nypl.org/items/0c958820-4e1f-0130-5e69-58d385a7b928
52446010-4e1f-0130-788a-58d385a7b928," Bright, H[enry] A., ALS, to SAPH. [n.d.]
",1853-1871,[n.p.],"aut:Bright, Henry Arthur, 1830-1884",http://digitalcollections.nypl.org/items/52446010-4e1f-0130-788a-58d385a7b928
f76703b0-4e28-0130-874d-58d385a7bbd0," F[ields], J. T., ALS, to [SAPH]. [n.d.] [Previously to Nathaniel Hawthorne]",1864: questionable,[n.p.],"aut:Fields, James Thomas, 1817-1881",http://digitalcollections.nypl.org/items/f76703b0-4e28-0130-874d-58d385a7bbd0
2722ce40-4e29-0130-480c-58d385a7bbd0," Fields, J. T., ALS, to SAPH. Nov. 25, 1859.",1859-11-25,"Paris, France","aut:Fields, James Thomas, 1817-1881",http://digitalcollections.nypl.org/items/2722ce40-4e29-0130-480c-58d385a7bbd0
61e5b650-4e2a-0130-4eb1-58d385a7bbd0," Fields, J. T., ALS, to SAPH. Mar. 17, 1863.",1863-03-17,"Boston, MA","aut:Fields, James Thomas, 1817-1881",http://digitalcollections.nypl.org/items/61e5b650-4e2a-0130-4eb1-58d385a7bbd0
7991fa20-4e2a-0130-0abe-58d385a7bbd0," Fields, J. T., ALS, to SAPH. May 24, 1864.",1864-05-24,"Boston, MA","aut:Fields, James Thomas, 1817-1881",http://digitalcollections.nypl.org/items/7991fa20-4e2a-0130-0abe-58d385a7bbd0
a35e68f0-4eb3-0130-75a2-58d385a7bbd0," F[ields], J. T., ALS, to SAPH.  Jun. 9, 1864.",1864-06-09,"Boston, MA","aut:Fields, James Thomas, 1817-1881",http://digitalcollections.nypl.org/items/a35e68f0-4eb3-0130-75a2-58d385a7bbd0
b7f65ed0-4eb3-0130-5f3d-58d385a7bbd0," Fields, J. T., ALS, to SAPH.  Nov. 9, 1864.",1864-11-09,"Boston, MA","aut:Fields, James Thomas, 1817-1881",http://digitalcollections.nypl.org/items/b7f65ed0-4eb3-0130-5f3d-58d385a7bbd0
