uuid,title,date,place,names,link
e1b0bae0-c62d-012f-c372-58d385a7bc34," Babcock, W. E., ALS to WW. Oct. 18, 1864. 	
",1864-10-18,"Near Poplar Grove Church, VA ",":Babcock, William E., Lt.",http://digitalcollections.nypl.org/items/e1b0bae0-c62d-012f-c372-58d385a7bc34
e2046520-c62d-012f-ef81-58d385a7bc34," Babcock, W. E., ALS to WW. Dec. 12, 1864. 	
",1864-12-12,"Near Petersburg, VA",":Babcock, William E., Lt.",http://digitalcollections.nypl.org/items/e2046520-c62d-012f-ef81-58d385a7bc34
e24a2790-c62d-012f-6617-58d385a7bc34," Babcock, W. E., ALS to WW. Dec. 25, 1864. 	",1864-12-25,"Near Petersburg, VA",":Babcock, William E., Lt.",http://digitalcollections.nypl.org/items/e24a2790-c62d-012f-6617-58d385a7bc34
e29d3a50-c62d-012f-4e96-58d385a7bc34," McReady, Fred B., ALS to WW. Apr. 29, 1863. 	",1863-04-29,"Winchester, KY 	",":McReady, Fred. B. ",http://digitalcollections.nypl.org/items/e29d3a50-c62d-012f-4e96-58d385a7bc34
e2f814b0-c62d-012f-39d3-58d385a7bc34," Smith, Aaron, ALS to WW. May 14, 1864. 	",1864-05-14,"Carver Hospital, Washington, DC",":Smith, Aaron",http://digitalcollections.nypl.org/items/e2f814b0-c62d-012f-39d3-58d385a7bc34
e33ad930-c62d-012f-e38f-58d385a7bc34," Smith, Aaron, ALS to WW. Jul. 13, 1864. 	
",1864-07-13,"Carver Hospital, Washington, DC",":Smith, Aaron",http://digitalcollections.nypl.org/items/e33ad930-c62d-012f-e38f-58d385a7bc34
e39eeb40-c62d-012f-2692-58d385a7bc34," Smith, Lizzie H., on behalf of Milton S. Roberts, ALS to WW. Sep. 17, [1864]. 	
",1864-09-17,Waterboro,":Smith, Elizabeth H.; :Roberts, Milton S.",http://digitalcollections.nypl.org/items/e39eeb40-c62d-012f-2692-58d385a7bc34
e3f38120-c62d-012f-3fae-58d385a7bc34," Wright, D. F., ALS to WW. Jan. 4, 1865. 	
",1865-01-04,"New York, NY ",":Wright, Dana F.",http://digitalcollections.nypl.org/items/e3f38120-c62d-012f-3fae-58d385a7bc34
3c2a0200-8a9a-0130-e200-58d385a7bbd0," Kennedy, W. S., AL to WW. June, 1883. Copy of portion in WW's hand.",1883-06,,"rcp:Kennedy, William Sloane, 1850-1929",http://digitalcollections.nypl.org/items/3c2a0200-8a9a-0130-e200-58d385a7bbd0
ee49bcc0-8a9a-0130-6f1e-58d385a7bbd0," Baxter, Sylvester, ALS to. Oct. 31, [1881].",1881-10-31,"Camden, NJ","rcp:Baxter, Sylvester, 1850-1927",http://digitalcollections.nypl.org/items/ee49bcc0-8a9a-0130-6f1e-58d385a7bbd0
1bb90c50-8a9b-0130-e25b-58d385a7bbd0," Baxter, Sylvester, AL to. Oct. 8, 1882.",1882-10-08,"Camden, NJ","rcp:Baxter, Sylvester, 1850-1927",http://digitalcollections.nypl.org/items/1bb90c50-8a9b-0130-e25b-58d385a7bbd0
5accfb40-8a9b-0130-2cb8-58d385a7bbd0," Baxter, Sylvester, ALS to. Jun. 9, 1885.",1885-06-09,"Camden, NJ","rcp:Baxter, Sylvester, 1850-1927",http://digitalcollections.nypl.org/items/5accfb40-8a9b-0130-2cb8-58d385a7bbd0
affcde60-8a9b-0130-1746-58d385a7bbd0," Baxter, Sylvester, ALS to. Dec. 8, 1886.",1886-12-08,"Camden, NJ","rcp:Baxter, Sylvester, 1850-1927",http://digitalcollections.nypl.org/items/affcde60-8a9b-0130-1746-58d385a7bbd0
424cbc60-8b3f-0130-44e1-58d385a7bbd0,"[Brown, Lewis K.], ALS to. Jul. 11, 1864.",1864-07-11,"Brooklyn, NY","rcp:Browne, Lewis K.",http://digitalcollections.nypl.org/items/424cbc60-8b3f-0130-44e1-58d385a7bbd0
9ed128e0-8b3f-0130-7370-58d385a7bbd0," Bucke, R[ichard] M[aurice], ALS to. Oct. 23, [1878].",1878-10-23,"Camden, NJ","rcp:Bucke, Richard Maurice, 1837-1902",http://digitalcollections.nypl.org/items/9ed128e0-8b3f-0130-7370-58d385a7bbd0
